min,sec,tag
2,33,211113 YeomyungFS rightfull_000 [5]
2,41,211113 YeomyungFS rightfull_001 [14]
2,57,211113 YeomyungFS rightfull_002 [10]
3,27,211113 YeomyungFS rightfull_003 [5]
3,36,211113 YeomyungFS rightfull_004 [8]
5,31,211113 YeomyungFS rightfull_005 [5]
5,48,211113 YeomyungFS rightfull_006 [17]
8,29,211113 YeomyungFS rightfull_007 [16]
16,23,211113 YeomyungFS rightfull_008 [11]
29,41,211113 YeomyungFS rightfull_009 [4]
29,50,211113 YeomyungFS rightfull_010 [5]
30,13,211113 YeomyungFS rightfull_011 [17]
30,32,211113 YeomyungFS rightfull_012 [8]
30,40,211113 YeomyungFS rightfull_013 [12]
30,59,211113 YeomyungFS rightfull_014 [11]
31,43,211113 YeomyungFS rightfull_015 [17]
32,9,211113 YeomyungFS rightfull_016 [5]
32,27,211113 YeomyungFS rightfull_017 [8]
32,49,211113 YeomyungFS rightfull_018 [8]
36,10,211113 YeomyungFS rightfull_019 [11]
44,9,211113 YeomyungFS rightfull_020 [5]
45,2,211113 YeomyungFS rightfull_021 [11]
45,30,211113 YeomyungFS rightfull_022 [15]
46,58,211113 YeomyungFS rightfull_023 [8]
49,20,211113 YeomyungFS rightfull_024 [5]
52,7,211113 YeomyungFS rightfull_025 [8]
53,46,211113 YeomyungFS rightfull_026 [5]
54,2,211113 YeomyungFS rightfull_027 [5]
55,27,211113 YeomyungFS rightfull_028 [5]
56,33,211113 YeomyungFS rightfull_029 [5]
56,48,211113 YeomyungFS rightfull_030 [5]
56,54,211113 YeomyungFS rightfull_031 [5]
58,4,211113 YeomyungFS rightfull_032 [20]
58,40,211113 YeomyungFS rightfull_033 [5]
66,38,211113 YeomyungFS rightfull_034 [5]
68,27,211113 YeomyungFS rightfull_035 [5]
70,53,211113 YeomyungFS rightfull_036 [8]
72,4,211113 YeomyungFS rightfull_037 [5]
94,3,211113 YeomyungFS rightfull_038 [8]
95,2,211113 YeomyungFS rightfull_039 [8]
96,25,211113 YeomyungFS rightfull_040 [5]
96,35,211113 YeomyungFS rightfull_041 [5]
98,27,211113 YeomyungFS rightfull_042 [5]
98,40,211113 YeomyungFS rightfull_043 [8]
99,23,211113 YeomyungFS rightfull_044 [5]
105,56,211113 YeomyungFS rightfull_045 [11]
107,46,211113 YeomyungFS rightfull_046 [5]
113,13,211113 YeomyungFS rightfull_047 [5]
113,18,211113 YeomyungFS rightfull_048 [5]
113,43,211113 YeomyungFS rightfull_049 [5]
114,30,211113 YeomyungFS rightfull_050 [5]
114,40,211113 YeomyungFS rightfull_051 [27]
115,11,211113 YeomyungFS rightfull_052 [5]
117,54,211113 YeomyungFS rightfull_053 [8]
118,19,211113 YeomyungFS rightfull_054 [5]
118,44,211113 YeomyungFS rightfull_055 [5]
118,57,211113 YeomyungFS rightfull_056 [5]
120,15,211113 YeomyungFS rightfull_057 [8]
121,57,211113 YeomyungFS rightfull_058 [5]
123,22,211113 YeomyungFS rightfull_059 [8]
